StageId	ObjectType	PosX	PosY	PosZ	Param0	Param1	Param2	GroupId
Tutorial	DimensionTrigger	0	0	0	0	0	0	
Tutorial	GimmickWall	193	3	-9.3	0	0	0	
Tutorial	Star	300	15	-2	0	0	0	
Tutorial	TutorialMessageUI	0	0	0	0	0	0	
Tutorial	ButtonActionUI	0	0	0	0	0	0	
Stage1	Star	1260	8	0	0	0	0	
Stage1	JumpPad	1400	-60	-1800	0	0	0	
Stage1	DimensionTrigger	800	0	-10	0	0	0	
Stage1	DimensionTrigger	1500	-75	0	0	0	0	
Stage1	DimensionTrigger	1400	-60	-1800	0	0	0	
Stage1	Wall	800	0	-10	0	0	0	
Stage1	NormalEnemy	800	0	0	0	0	0	
Stage1	Thwomp	1150	400	0	1000	-1	-0.5	
Stage1	RotationFool	2050	500	-2200	400	0	0	
Stage1	RotationFool	2050	700	-2400	450	0	0	
Stage1	RotationFool	2050	1000	-2600	500	0	0	
Stage1	TrackingEnemy	280	0	0	0	0	0	
Stage1	FallEnemy	320	150	-10	0	0	0	
Stage2	RotationFool	1250	200	-60	100	0	0	
Stage2	RotationFool	1380	400	-60	150	0	0	
Stage2	RotationFool	1480	600	-60	200	0	0	
Stage2	TrackingEnemy	1000	300	15.878	0	0	0	
Stage2	Thwomp	5400	1900	-80	3000	-1	-1	
Stage2	DimensionTrigger	3000	650	-130	0	0	0	
Stage2	DimensionTrigger	5400	1700	-130	0	0	0	
Stage2	DimensionTrigger	200	0	-70	0	0	0	
Stage2	Star	5800	1800	-80	0	0	0	
Stage3	DimensionTrigger	1600	0	45	0	0	0	
Stage3	DimensionTrigger	1600	0	-2200	0	0	0	
Stage3	DimensionTrigger	3600	0	-2200	0	0	0	
Stage3	DimensionTrigger	3600	39.2	-3927	0	0	0	
Stage3	Wall	700	0	70	0	0	0	
Stage3	Wall	1000	0	70	0	0	0	
Stage3	Wall	1600	0	-500	90	0	0	
Stage3	Wall	1600	0	-700	90	0	0	
Stage3	Star	3500	39.2	-4300	0	0	0	
StageEX	Boss	10	5	0	0	0	0	
StageEX	DimensionTrigger	0	0	0	0	0	0	
StageEX	CutIn	0	0	0	4	0	0	
